CASENUM,VEH_NO,PER_NO,REGION,STRATUM,PJ,PSU,PSUSTRAT,NMIMPAIR,WEIGHT
201510444089,0,1,1,3,10,2,3,0,89.85326
201510444566,0,1,1,3,3,2,3,0,27.146
201510444750,0,1,1,3,4,2,3,0,53.88671
201510444972,0,1,1,3,6,2,3,0,49.280305
201510445293,0,1,1,4,2,2,3,0,217.168
201510445326,0,1,1,3,10,2,3,0,89.85326
201510445356,0,1,1,3,3,2,3,0,27.146
201510445554,0,1,1,3,3,2,3,0,27.146
201510445633,0,1,1,3,1,2,3,0,27.146
201510445701,0,1,1,3,6,2,3,0,49.280305
201510445845,0,1,1,3,3,2,3,99,27.146
201510445886,0,1,1,3,4,2,3,0,53.88671
201510445918,0,1,1,3,4,2,3,0,53.88671
201510446016,0,1,1,3,4,2,3,0,53.88671
201510446219,0,1,1,3,6,2,3,0,49.280305
201510446579,0,1,1,4,4,2,3,0,215.54684
201510446794,0,1,1,3,4,2,3,0,53.88671
201510748794,0,1,1,3,21,3,1,0,14.573372
201510748808,0,1,1,3,1,3,1,0,12.454
201510749065,0,1,1,3,4,3,1,0,9.948952
201510749207,0,1,1,3,13,3,1,0,14.75799
201510749277,0,1,1,3,4,3,1,0,9.948952
201510749338,0,1,1,3,8,3,1,0,9.931866
201510749446,0,1,1,3,3,3,1,0,10.157432
201510749555,0,1,1,3,16,3,1,0,15.620256
201510749849,0,1,1,3,1,3,1,99,12.454
201510750036,0,1,1,3,8,3,1,0,9.931866
201510750074,0,1,1,3,7,3,1,0,10.111004
201510750186,0,1,1,2,3,3,1,0,50.78716
201510750394,0,1,1,3,13,3,1,0,14.75799
201510750568,0,1,1,3,8,3,1,0,9.931866
201510750617,0,1,1,3,3,3,1,0,10.157432
201510750747,0,1,1,3,16,3,1,0,15.620256
201510750766,0,1,1,3,7,3,1,0,10.111004
201510751224,0,1,1,3,3,3,1,0,10.157432
201510751277,0,1,1,4,16,3,1,0,218.683584
201510751307,0,1,1,3,7,3,1,0,10.111004
201510751636,0,1,1,3,3,3,1,0,10.157432
201510751761,0,1,1,3,7,3,1,0,10.111004
201510751800,0,1,1,3,16,3,1,0,15.620256
201510751872,0,1,1,3,10,3,1,0,14.349849
201510751920,0,1,1,3,4,3,1,0,9.948952
201510752001,0,1,1,3,3,3,1,0,10.157432
201510752287,0,1,1,3,3,3,1,0,10.157432
201510752333,0,1,1,3,21,3,1,0,14.573372
201510752430,0,1,1,4,13,3,1,0,221.36985
201510752432,0,1,1,3,16,3,1,0,15.620256
201510752790,0,1,1,3,16,3,1,0,15.620256
201510752873,0,1,1,3,8,3,1,0,9.931866
201510753220,0,1,1,3,3,3,1,0,10.157432
201510753264,0,1,1,3,8,3,1,0,9.931866
201510753351,0,1,1,3,7,3,1,0,10.111004
201510753372,0,1,1,3,7,3,1,0,10.111004
201510753377,0,1,1,3,16,3,1,0,15.620256
201510753489,0,1,1,3,8,3,1,0,9.931866
201510753508,0,1,1,3,4,3,1,0,9.948952
201510753547,0,1,1,3,1,3,1,0,12.454
201510753670,0,1,1,3,13,3,1,0,14.75799
201510753742,0,1,1,3,8,3,1,0,9.931866
201510753822,0,1,1,3,3,3,1,0,10.157432
